org_key,year,event_key,team_key,driverYearsOnDriveTeam,humanPlayerYearsOnDriveTeam,canHumanPlayerScore,coachYearsOnDriveTeam,driveBaseMultiSelect,DrivetrainQuality,driveBaseLength,driveBaseWidth,robotHeight,robotWeight,HopperCapacity,electricalWiring,mechanicalQuality,canPickupFuelGround,canPickupfuelHumanPlayerstation,canDrive Bump,canDriveUnderTrench,ProgrammingLanguage,usualStrategy,StartHumanPlayer,StartCenter,StartDepot,describeAuto,TowerClimb,comments
steelcity,2026,2026paca,frc63,"1","0","0","5","Custom - See Notes","1","Max","Max","22","Unknown","14","1","1.5","1","1","0","1","Java","More points in auto not a ton in teleop","0","1","0","","L1",""
steelcity,2026,2026paca,frc117,"2","1","1","2","Custom - See Notes","2","29","25","21.6","114","35","2 ","1","1","0","0","1","Java ","Collect balls (2 cycles in auto) ","1","0","1","Collect fuel and shoot ","L1","Thrifty bot swerve No climb "
steelcity,2026,2026paca,frc340,"3","1","1","7","Custom Swerve","2","26","26.5","28",">100 estimate 130","75","1","2","1","1","0","0","Java","Go to middle and shoot into alliance side","1","0","1","Get balls from center shoot and grab from depot","L1","Swerve is sds mk5 n with r2 gear ratio"
steelcity,2026,2026paca,frc451,"3","0","1","3","SDS MK4 LT2","1","27","27","21","111124","Can hold 10 not sure if max ","1","1","1","0","0","1","Java ","Passing ","1","1","1","Just diving out ","L1","No climb "
steelcity,2026,2026paca,frc709,"1","1","1","3","Mechanum","1","25","35","22","80","0","1","1","0","0","0","1","Java","Defense, climb l3 ","0","1","0","Climb l3","L3",""
steelcity,2026,2026paca,frc1317,"2","2","1","15","Custom Swerve","1","27.5","27.5","22","106","20","1","1","1","1","0","1","Java","Mostly saying In mural and shooting deffence on bump and trench","1","0","1","Anything","L1","Start anywhere, the article over hump don’t plan to"
steelcity,2026,2026paca,frc1511,"2","3","1","2","SDS MK4 LT4","2","30","25","21","114.26","45","1","2","1","1","0","1","Java","Ball cycle feed if needed ","0","0","1","Under trench Score average 30 points","L1",""
steelcity,2026,2026paca,frc1601,"2","1","1","2","WCP Swereve X2","1","27","27","22","110","30","1","1","1","0","0","1","Java","Shoot pass and shoot again ","1","0","1","Trench intake at the middle go back to the trench shoot from there","L1","No climb"
steelcity,2026,2026paca,frc1708,"3","2","1","20","Custom - See Notes","1","","33 with bumper Without 25.5 ","","108 ","45+","1","1","1","1","0","0","Java ","Pick up and score consistently ","1","0","0","Pick up balls and shoot x2 (40 ball)","L1","Swerve marx4 I Drive coach 22 years Maybe climb "
steelcity,2026,2026paca,frc1816,"1","1","0","4","Custom Swerve","1","27","27","21","114","30","2","2","1","1","0","1","Java","Score during active periods and passing during inactive periods","1","0","1","Intake from center then shoot then intake from center again ","L1","No climb"
steelcity,2026,2026paca,frc2010,"3","3","1","4","Custom - See Notes","2","26.5","26.5","29","103","12","2","2","1","1","0","0","Java","Feed and shoot ","0","0","0","Drive forward and shoot ","L1","Can’t climb "
steelcity,2026,2026paca,frc2095,"1","1","1","1","Custom - See Notes","2","28.5","26","22","48","20","1","3 ","0","1","0","1","C++","Defense and pushing fuel to our side ","1","1","1","Nothing","L1","Tank drive, no climb, used some duct tape for holding some pieces on"
steelcity,2026,2026paca,frc2234,"4","4","1","4","Custom - See Notes","3-highly irregular, unsure of failure","34.5","23.5","29.5","69","80","3-exposed wires","2-looks built solidly","1","1","0","0","C++","Take all balls in middle and drop off on side","0","0","0","No auto","L1","No climb"
steelcity,2026,2026paca,frc2614,"1","1","1","10","SDS MK4 LT3","2","28","28","don’t know","113.9 w/o bumpers, 128.4 with bumpers","60","1","1","1","1","0","0","Python","Auto middle, either ground or intake wtv easier","0","1","0","shoot 8 preload, intake fuel, shoot it, L1 auto","L1",""
steelcity,2026,2026paca,frc2641,"1","1","1","7","SDS MK4 LT4","1","27","27","21","103","30","2","1","1","1","0","1","Java","Both offense and defense, shoot while moving, ","0","0","1","Score balls and line up with trench","L1","No climb"
steelcity,2026,2026paca,frc2656,"2","1","1","10","Custom West Coast Drive","1","26.5","26.5","21.5","87","33","3.5 exposed wires in hopper","1.5","1","1","0","1","Java","Feeder/scoring couple of preferred scoring spots","0","1","0","Score preloads","L1",""
steelcity,2026,2026paca,frc3015,"1","1","1","15","SDS MK4 LT4","1","29.5","25.5","22","115.0","60-70","1","2","1","0","0","1","Java","shoot balls and pass them","1","0","1","picks up from neutral and shoots them into hubdon’t shoot preloads","L1","no climb"
steelcity,2026,2026paca,frc3173,"3","1","1","3","SDS MK4 LT2","1","26","26","21","108.6","20","1","1","1","0","0","1","Java","Cleanup?","1","1","1","Shoot preload, intake from neutral zone, then shoot, or shoot preload then go to depot","L1","No climb"
steelcity,2026,2026paca,frc3260,"4","2","1","2","Custom Swerve","1","27.5","27.5","21.5","115","30-35","2","2","1","1","0","1","Java","High value high score","1","0","1","Pick from depot pick all balls shoot all preloaded ","L1",""
steelcity,2026,2026paca,frc3324,"1","1","1","4","SDS MK4 LT1","1","27.5","27.5","20","85","35+","1","","1","1","0","1","Java","High fire rate good cycle time mainly offense can defend. ","0","1","0","Shoot 15 fuel","L1",""
steelcity,2026,2026paca,frc3484,"2","1","1","10","SDS MK4 LT3","1","27","27","21 ","Haven’t weighed maybe 105","15-20","2","1","1","0","0","1","Python","Feed bot neutral zone ","0","1","1","Scoring, feed pieces over ","L1","No climb "
steelcity,2026,2026paca,frc3504,"1","4","1","2","SDS MK4 LT2","1","26.5in","26.5in","21in ","92lbs","20","1","1","1","1","0","1","Java","Rapidly fire balls","1","1","1","Multiple autos, preloaded, collecting, and shooting","L1","Can’t climb"
steelcity,2026,2026paca,frc3990,"3","1","1","12","Custom - See Notes","","27.5","27.5","21.5","112","50","","","1","1","0","1","Java","Shooting, intaking ","1","0","1","Intake fuel from center and shootUnder","L1","Sds MK5 N"
steelcity,2026,2026paca,frc4027,"0","0","1","1","WCP Swereve X2","1","27 x27","","Just under 30","114.2","55","1","1","1","1","0","0","Java ","Cycles or shuttleContinuous gather and shoot","0","0","1","Over bump shoot x2","L1",""
steelcity,2026,2026paca,frc4028,"2","0","0","8","Kitbot Chassis","1","261/2","28","25","113.4","60","1","1","1","1","0","1","Java ","Get full hooper on off then shoot can do everything ","1","0","1","Go middle and shoot 2 or go to middle then depo ","L1","No climb We’re mx 5 "
steelcity,2026,2026paca,frc4050,"1","2","1","6","SDS MK4 LT3","2","29.5","25.5","21","114.8","15-30","3","2","1","1","0","1","Java","Grab and pass fuel","1","1","1","Gather fuel from center","L1",""
steelcity,2026,2026paca,frc4150,"2","1","1","2","SDS MK4 LT2","1","30","25","29.5","95","40-50","1","1","1","1","0","0","Java","Scoring and climb","0","0","0","","L1","Still working out what they are doing for auto."
steelcity,2026,2026paca,frc4269,"4","2","1","3","Custom - See Notes","1","25","29","21","100","25","1","1","1","0","0","1","Unknown","Still figuring it out, strategy will be based  upon the teammates","0","0","0","Undecided","L1","Will try to climb, unknown drive base type."
steelcity,2026,2026paca,frc4467,"4","3","1","2","SDS MK4 LT3","1","25.5","27","28","114","50","1","2","1","1","0","0","Java","Balls and shoot","1","1","1","Shoot and reload","L1","Has climb.but can’t climb currently "
steelcity,2026,2026paca,frc4991,"1","1","1","8","SDS MK4 LT2","1","27.5","27.5","21","13.5","23","2","2","1","1","0","1","Java","Ball cycle to shoot ","0","0","1","Shoot preload get more balls from middle and shoot again","L1","No climb "
steelcity,2026,2026paca,frc5667,"3","3","1","1","Custom - See Notes","1","26","26","21","110","30-35","1","1","1","0","0","1","Java","pick up balls, play defense, 4-bar intake, herd fuel into area, neutral zone pass","0","1","0","depot, score as much as collect from depot and sweep out through trench to intake","L1","drive train - STS MK5N, no climb"
steelcity,2026,2026paca,frc5740,"3","1","1","2","Custom - See Notes","1","25.5","28.5","Max hight ","105.8","45-55","1","1","1","1","0","0","Java ","Someone feed or they feed themselves for good cycles ","1","1","1","Go out collect file and score(x2)","L1","Mark 4I swerves No climb "
steelcity,2026,2026paca,frc6032,"2","1","1","2","Rev MAX Swerve","2","25","25","27","85","50","2","2","1","0","0","0","Java","Passing and shooting","1","0","1","Collect from center and shoot","L1","No climb"
steelcity,2026,2026paca,frc7274,"1","1","1","1","Kitbot Chassis","3","26.5","26.5","22","70","10","2","2","1","1","0","1","Java","Defenders but can shoot ","0","1","0","Drive 5 feet then shoot 8 fuel","L1","Can’t climb "
steelcity,2026,2026paca,frc7515,"2","1","0","0","SDS MK4 LT2","1","27.5","27.5","Below 21","114","40 ","1","3 haven’t tested much ","1","1","0","1","Java ","Get as many balls onto allied field ","1","0","1","Fuel first, get fuel into their side Shoot then climb","L1","Don’t know who human player will be don’t know drive coach will be (backup bc main is sick)Haven’t tested over bump but seems confident in it"
steelcity,2026,2026paca,frc8705,"2","1","1","2","SDS MK4 LT4","1","28","22","30","81.3","15-20","2, somewhat exposed bottom section","1","1","1","0","0","Java","2 main strats, shoot into hub, defense.Prefer shooting from top right ","0","1","0","Score preloads and climb (inconsistent)","L1",""
steelcity,2026,2026paca,frc9004,"0","0","0","0","Kitbot Chassis","","","","","","","","","0","0","0","0","","","0","0","0","","L1",""
steelcity,2026,2026paca,frc9022,"2","3","1","4","Rev MAX Swerve","1","27","27","20.5","98","20","2.5 Many loose wires","2 mechanisms look a bit weak","1","1","0","1","Java","Offense, can defense. Preferred stationary shooting locations, manual adjustment","1","1","1","None","L1",""
steelcity,2026,2026paca,frc9406,"2","1","1","3","SDS MK4 LT3","1","28.5","25.5","20.5","113.7","45-50","1","1","1","0","0","1","Java","Feed while inactive and shoot, shoot from anywhere stationary ","1","0","0","Middle shoot middle","L1","No climb"
steelcity,2026,2026paca,frc9415,"2","3","1","3","Custom - See Notes","1","26.75","26.5","25","45","18-20","2","1","1","1","0","0","Java","shoot mostly, can play defense","0","1","0","discharge","L1","tank drive base, no climb"
steelcity,2026,2026paca,frc9475,"3","1","1","2","Custom Swerve","1","2 feet 2 inches","2 feet 2 inches","1 foot 7 inches","Have not gone through inspection and do not know","1","1","1","1","0","0","1","Java","Defense","1","1","1","No auto","L1","They do not climb, they do not have a hopper, and they cannot score in the hub."
steelcity,2026,2026paca,frc9642,"1","2","1","2","SDS MK4 LT3","2","27.25","21","21","130","40","3","3","1","1","0","1","Java","Defense ","0","1","1","Ball cycle twice","L1","No climb "
steelcity,2026,2026paca,frc9653,"3","0","1","3","Custom - See Notes","","26.5","26.5","?","72","8","","","1","1","0","0","Java","No plan","0","0","0","No auto","L1","Tank"
steelcity,2026,2026paca,frc10300,"0","0","1","0","Custom - See Notes","1","","","","","","2","2","1","0","0","0","","","0","0","0","","L1","Tank driveLightly modified kitbot Changes are being made to the size of the frame so physical dimensions could not be recorded"
steelcity,2026,2026paca,frc10512,"1","1","1","1","Rev MAX Swerve","2 looks neat, none of the student's know how it works, in case of failure it will be hard to fix. ","Est: 26","Est: 26","EST: 21","Unsure","6","2 looks neat, none of the students know how it works","2 the students know very little about the robots mechanisms","1","1","0","1","Java","Not sure on a strategy ","1","1","1","Move forward 3 feet","L1","Can’t climb"
steelcity,2026,2026paca,frc10513,"1","2","1","5","Kitbot Chassis","","","","","","","","","1","1","0","0","","","0","0","0","","L1","No climb "
steelcity,2026,2026paca,frc10515,"1","1","0","10","Kitbot Chassis","1","10","12","13 ","Unknown ","2-20","2","3","1","1","0","1","Java ","Mainly neutral( undecided) ","0","0","0","Unsure  about placement or strategy not fully coded ","L1","No climb "
steelcity,2026,2026paca,frc10516,"2","1","1","2","Kitbot Chassis","3","Unsure ","Unsure ","Unsure ","67","10-12","1","2","1","1","0","1","Java ","Collect fule and shoot it ","1","1","1","Not programmed ","L1","No climb available yet "
steelcity,2026,2026paca,frc10517,"1","1","1","1","Kitbot Chassis","3","27","27","22.5","Unknown ","15","3","2","1","1","0","1","Java","Grab ballls and shoot them from allinence I","0","0","0","","L1",""
steelcity,2026,2026paca,frc11456,"1","1","1","5","Kitbot Chassis","1","~26","~26","~20","Unknown ","2-3","2","2","1","1","0","0","Java","Score fuel, depends based on others gameplay","0","0","0","","L1","No climb, not many specifics were given for everything"